类型,原文,建议,位置,置信度
not_general_standard_kanji,/,不在通用规范汉字表及其附录中,(82, 83),1
not_general_standard_kanji,/,不在通用规范汉字表及其附录中,(83, 84),1
not_general_standard_kanji,/,不在通用规范汉字表及其附录中,(105, 106),1
not_general_standard_kanji,`,不在通用规范汉字表及其附录中,(148, 149),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(149, 150),1
not_general_standard_kanji,`,不在通用规范汉字表及其附录中,(150, 151),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(317, 318),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(326, 327),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(327, 328),1
traditional_character,護,护,(355, 356),1
variant_character,裡,里,(357, 358),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(403, 404),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(404, 405),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(455, 456),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(469, 470),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(484, 485),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(499, 500),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(514, 515),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(528, 529),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(542, 543),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(565, 566),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(566, 567),1
not_general_standard_kanji,=,不在通用规范汉字表及其附录中,(580, 581),1
not_general_standard_kanji,^,不在通用规范汉字表及其附录中,(598, 599),1
not_general_standard_kanji,^,不在通用规范汉字表及其附录中,(599, 600),1
not_general_standard_kanji,=,不在通用规范汉字表及其附录中,(601, 602),1
not_general_standard_kanji,×,不在通用规范汉字表及其附录中,(617, 618),1
not_general_standard_kanji,=,不在通用规范汉字表及其附录中,(623, 624),1
not_general_standard_kanji,×,不在通用规范汉字表及其附录中,(639, 640),1
not_general_standard_kanji,%,不在通用规范汉字表及其附录中,(642, 643),1
not_general_standard_kanji,=,不在通用规范汉字表及其附录中,(643, 644),1
not_general_standard_kanji,>,不在通用规范汉字表及其附录中,(657, 658),1
not_general_standard_kanji,%,不在通用规范汉字表及其附录中,(691, 692),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(703, 704),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(712, 713),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(713, 714),1
not_general_standard_kanji,—,不在通用规范汉字表及其附录中,(1025, 1026),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(1064, 1065),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(1065, 1066),1
not_general_standard_kanji,<,不在通用规范汉字表及其附录中,(1073, 1074),1
not_general_standard_kanji,>,不在通用规范汉字表及其附录中,(1080, 1081),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(1190, 1191),1
not_general_standard_kanji,<,不在通用规范汉字表及其附录中,(1373, 1374),1
not_general_standard_kanji,/,不在通用规范汉字表及其附录中,(1374, 1375),1
not_general_standard_kanji,>,不在通用规范汉字表及其附录中,(1381, 1382),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(1384, 1385),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(1385, 1386),1
not_general_standard_kanji,#,不在通用规范汉字表及其附录中,(1386, 1387),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(1674, 1675),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(1710, 1711),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(1713, 1714),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(1716, 1717),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(1720, 1721),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(1725, 1726),1
not_general_standard_kanji,—,不在通用规范汉字表及其附录中,(2302, 2303),1
not_general_standard_kanji,—,不在通用规范汉字表及其附录中,(2303, 2304),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(3007, 3008),1
not_general_standard_kanji,—,不在通用规范汉字表及其附录中,(3523, 3524),1
not_general_standard_kanji,—,不在通用规范汉字表及其附录中,(3524, 3525),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4103, 4104),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4105, 4106),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4107, 4108),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4109, 4110),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4111, 4112),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4113, 4114),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4116, 4117),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4118, 4119),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4121, 4122),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4123, 4124),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4125, 4126),1
not_general_standard_kanji,、,不在通用规范汉字表及其附录中,(4128, 4129),1
