大安,西夏惠宗年号,1074—1084
大安,辽道宗年号,1085—1094
大安,金卫绍王完颜永济年号,1209—1211
大宝,南朝梁简文帝年号,550—551
大宝,南汉刘𬬮年号,958—971
大宝,大理段正兴年号,1149—1155
大宝,明时蔡伯贯年号,1565—1566
大德,西夏崇宗年号,1135—1139
大德,元成宗年号,1297—1307
大定,南朝后梁宣帝年号,555—562
大定,北周静帝年号,581
大定,金世宗年号,1161—1189
大和,唐文宗年号,827—835
太和,唐文宗年号,827—835
大和,五代吴杨溥年号,929—935
大明,南朝宋孝武帝年号,457—464
大明,南诏杨干真年号,931—937
大庆,西夏景宗年号,1036—1038
大庆,西夏仁宗年号,1140—1143
大顺,唐昭宗年号,890—891
大顺,明末张献忠年号,1644—1646
大同,南朝梁武帝年号,535—546
大同,南诏隆舜年号,？—？
大同,辽太宗年号,947
大兴,晋元帝年号,318—321
太兴,晋元帝年号,318—321
大兴,渤海大钦茂年号,737—793
凤凰,吴末帝年号,272—274
凤凰,晋时李弘年号,370
凤历,后梁朱友珪年号,913
凤历,大理段智廉年号,1201—？
甘露,汉宣帝年号,前53—前50
甘露,魏高贵乡公曹髦年号,256—260
甘露,吴末帝年号,265—266
甘露,前秦苻坚年号,359—364
甘露,辽东丹王耶律倍年号,926—982
更始,新末刘玄年号,23—25
更始,西燕慕容冲年号,385—386
更始,西秦乞伏乾归年号,409—412
光天,前蜀王建年号,918
光天,南汉刘玢年号,942—943
广安,北魏时葛荣年号,526—528
广安,大理段连义年号,1077—1080
广德,唐代宗年号,763—764
广德,大理段思聪年号,？—967
广明,唐僖宗年号,880—881
广明,大理段素英年号,986—1004
广运,南朝后梁萧琮年号,586—587
广运,北汉刘继元年号,974—979
广运,西夏景宗年号,1034—1036
广运,大理段正严年号,？—1147
和平,汉桓帝年号,150
和平,前凉张祚年号,354—355
和平,北魏文成帝年号,460—465
和平,高昌麹□年号,551—554
宝历,渤海大钦茂年号,774—？
宝历,唐敬宗年号,825—826
皇建,北齐孝昭帝年号,560—561
皇建,西夏襄宗年号,1210—1211
皇始,前秦苻健年号,351—355
皇始,北魏道武帝年号,396—398
黄龙,汉宣帝年号,前49
黄龙,吴大帝年号,229—231
黄龙,唐时段子璋年号,761
保大,南唐李璟年号,943—957
保大,辽天祚帝年号,1121—1125
嘉平,魏齐王曹芳年号,249—254
嘉平,汉（前赵）刘聪年号,311—315
嘉平,南凉秃发傉檀年号,408—414
建安,汉献帝年号,196—220
建安,大理段正明年号,？—？
建昌,柔然豆罗伏跋豆伐可汗年号,508—520
建昌,高昌麹宝茂年号,555—560
建初,汉章帝年号,76—84
建初,晋时李特年号,303
建初,后秦姚苌年号,386—394
建初,西凉李暠年号,405—417
建初,高昌张孟明年号,489—496
建德,北周武帝年号,572—578
建德,大理段正兴年号,？—1171
建光,汉安帝年号,121—122
建光,翟魏翟辽年号,388—391
建和,汉桓帝年号,147—149
建和,南凉秃发利鹿孤年号,400—402
建康,汉顺帝年号,144
建康,晋时司马保年号,319—320
建明,西燕慕容𫖮年号,386
建明,北魏时吕苟儿年号,506
建明,北魏长广王元晔年号,530—531
建平,汉哀帝年号,前6—前3
建平,后赵石勒年号,330—333
建平,西燕慕容瑶年号,386
建平,后燕慕容盛年号,398
建平,南燕慕容德年号,400—405
建平,北魏时白亚栗斯、刘虎年号,415—416
建平,北凉沮渠牧犍年号,437—439
建始,汉成帝年号,前32—前28
建始,晋赵王司马伦年号,301
建始,后燕时慕容详年号,397
建始,晋时桓玄年号,403
建始,后燕慕容熙年号,407
建武,汉光武帝年号,25—56
建武,晋惠帝年号,304
建武,晋元帝年号,317—318
建武,后赵石虎年号,335—348
建武,西燕慕容忠年号,386
建武,南齐明帝年号,494—498
建武,北魏北海王元颢年号,529
建兴,蜀汉后主年号,223—237
建兴,吴会稽王孙亮年号,252—253
建兴,成（汉）李雄年号,304—306
建兴,晋愍帝年号（313—317），前凉张寔、张茂、张骏、张重华、张玄靓沿用（317—353、355—361）,313—361
建兴,后燕慕容垂年号,386—396
建兴,渤海大仁秀年号,818—830
建元,汉武帝年号,前140—前135
建元,汉（前赵）刘聪年号,315—316
建元,晋康帝年号,343—344
建元,前秦苻坚年号,365—385
建元,南齐高帝年号,479—482
建义,西秦乞伏国仁年号,385—388
