词头,出现的词典数量
“一·二八”抗战,1
“一”“七”“八”“不”音变,1
“一二一工程”,1
“一打三反”运动,1
“一池三山”模式,1
“七七事变”,1
“三下”采煤,1
“三个代表”是我们党的立党之本、执政之基、力量之源,1
“三个代表”重要思想,2
“三从一大”训练原则,1
“三位一体”战略核力量,1
“三叉戟”导弹,1
“三可”原则,1
“三同时”制度,1
“三家村”事件,1
“三废”综合利用,1
“三无”人员,1
“三来一补”,1
“三步走”发展战略,1
“三致”污染物检测,1
“三讲”教育,1
“三讲”教育是加强党的建设的新探索,1
“三际”学说,1
“上升”号宇宙飞船,1
“不二山”乐烧陶碗,1
“东方”号宇宙飞船,1
“东方”号火箭,1
“东方”号载人飞船,1
“东方”系列运载火箭,1
“东方明珠”广播电视塔,1
“东方红”系列通信卫星,1
“东风”轮,1
“两个凡是”不符合马克思主义,1
“两弹一星”工程,1
“两航”起义,1
“中华”小行星,1
“中山”号炮舰,1
“之”字形攀登法,1
“九一八”事变,1
“二为”方向,1
“二为”方针,1
“五七一工程”纪要,1
“五保户”,1
“五卅”全苏区运动大会,1
“五月花号”公约,1
“五险一金”,1
“企业”号核动力航空母舰,1
“伊敦”轮,1
“伽利略”卫星导航系统,1
“依法治国”与“以德治国”相结合,1
“光华”轮,1
“克莱蒙特”轮,1
“八一”式入水,1
“八一三事变”,1
“八一四空战”,1
“八大部”-净月潭风景名胜区,1
“六十一个叛徒”案件,1
“共同悲剧”基模,1
“分子量分布”,1
“制宪”国民大会,1
“功臣号”坦克,1
“劳卫制”体育教材体系,1
“勇士”号考察船,1
“勒克莱尔”主战坦克,1
“卫星”系列卫星,1
“印度通信和气象卫星”,1
“双子星座”号宇宙飞船,1
“双百”方针,1
“君幸酒”漆卮,1
“和子句”纠纷,1
“和平”号空间站,1
“和平卫士”导弹,1
“哈勃”空间望远镜,1
“哈尔滨”号导弹驱逐舰,1
“啊”音变,1
“喀秋莎”火箭炮,1
“四有”人才,1
“四荒”土地承包经营权,1
“四阶段”交通需求模型,1
“国立中央图书馆”善本书目,1
“国立故宫博物院”善本书目,1
“国防支援计划”卫星,1
“国防气象卫星计划”卫星,1
“土星”系列运载火箭,1
“大力神”火箭,1
“大跃进”运动,1
“大酒瓶”侦察卫星,1
“天空实验室”,1
“子午仪”号导航卫星系统,1
“宇宙”系列卫星,1
“宇宙神”火箭,1
“定远”号铁甲舰,1
“实践”系列卫星,1
“密苏里”号战列舰,1
“富者愈富”基模,1
“对地静止环境业务卫星”,1
“寿”字铭玉洗,1
“尼米兹”号核动力航空母舰,1
“左”倾机会主义,2
“库兹涅佐夫”号航空母舰,1
“德尔它”火箭,1
“快车道”晋升,1
“性伪合”说,1
“恶性竞争”基模,1
“悬于欲”说,1
“成长上限”基模,1
“成长与投资不足”基模,1
“战斧”巡航导弹,1
“所”字短语,1
“所”字结构,1
“批林批孔”运动,1
“批林整风”运动,1
“批邓、反击右倾翻案风”运动,1
“批陈整风”运动,1
“把”字句,1
“挑战者”主战坦克,1
“挑战者”号调查船,1
“挑战者”调查船,1
“捕食者”无人驾驶侦察机,1
“探路者”号探测器,1
“探险者”系列卫星,1
“故障-安全”设计原则,1
“文化大革命”运动,1
“文艺自由”论,1
“斗、批、改”运动,1
“新”新经济地理理论,1
“新经济”发展战略模式,1
“旅行者”号探测器,1
“旅行者”系列行星探测器,1
“无产阶级专政下继续革命的理论”,1
“无厘头”表演,1
“无敌”号航空母舰,1
“月球”号探测器,1
“极地”号考察船,1
“极地”考察船,1
“格洛玛·挑战者”号钻探船,1
“梅卡瓦”主战坦克,1
“欧洲气象卫星”,1
“武陵蛮”、“长沙蛮”起义,1
“民兵”导弹,1
“水星”号宇宙飞船,1
“水池”模型,1
“永受嘉福”瓦当,1
“汉并天下”瓦当,1
“江千里”款锡胎嵌螺钿黑漆执壶,1
“泰罗斯”卫星实用垂直分布探测仪,1
“流星”号调查船,1
“海盗”号探测器,1
“海盗”火星探测器,1
“海辽”轮,1
“满洲国”,1
“火星探路者”探测器,1
“热”“冷”媒介说,1
“爱国者”反导系统,1
“爱国者”导弹,1
“犯罪学习”理论,1
“猜是谁”技术,1
“白云”卫星,1
“白杨”导弹,1
“的”字短语,1
“的”字结构,1
“的里雅斯特”号潜水器,1
“皇后之玺”玉玺,1
“皇家方舟”号航空母舰,1
“目标侵蚀”基模,1
“破石洞”宪法,1
“礼炮”号空间站,1
“神舟”号宇宙飞船,1
“神舟”号载人飞船,1
“福莱斯特”号航空母舰,1
“空间实验室”,1
“联动”事件,1
“联盟”号宇宙飞船,1
“联盟”号火箭,1
“联盟”号载人飞船,1
“胡风集团”事件,1
“能源”号火箭,1
“能源”系列运载火箭,1
“臣”字目纹,1
“致远”号巡洋舰,1
“舍本逐末”基模,1
“莫斯科”反导系统,1
“蛙跳”战术,1
“行宪”国民大会,1
“袋鼠”法,1
“被”字句,1
“解决后的解决”策略,1
